date	n_dem	n	p
2016-11-08	 0	       0	0.00000000
2016-11-08	 1	       0	0.00000000
2016-11-08	 2	       0	0.00000000
2016-11-08	 3	       0	0.00000000
2016-11-08	 4	       0	0.00000000
2016-11-08	 5	       0	0.00000000
2016-11-08	 6	       0	0.00000000
2016-11-08	 7	     163	0.00000163
2016-11-08	 8	    5368	0.00005368
2016-11-08	 9	   77782	0.00077782
2016-11-08	10	  603502	0.00603502
2016-11-08	11	 2771806	0.02771806
2016-11-08	12	 8160910	0.08160910
2016-11-08	13	16224946	0.16224946
2016-11-08	14	22485828	0.22485828
2016-11-08	15	22176260	0.22176260
2016-11-08	16	15682141	0.15682141
2016-11-08	17	 7974122	0.07974122
2016-11-08	18	 2914632	0.02914632
2016-11-08	19	  761597	0.00761597
2016-11-08	20	  140799	0.00140799
2016-11-08	21	   18381	0.00018381
2016-11-08	22	    1643	0.00001643
2016-11-08	23	     115	0.00000115
2016-11-08	24	       5	0.00000005
2016-11-08	25	       0	0.00000000
2016-11-08	26	       0	0.00000000
2016-11-08	27	       0	0.00000000
2016-11-08	28	       0	0.00000000
2016-11-08	29	       0	0.00000000
2016-11-08	30	       0	0.00000000
2016-11-08	31	       0	0.00000000
2016-11-08	32	       0	0.00000000
2016-11-08	33	       0	0.00000000
2016-11-08	34	       0	0.00000000
